sample	sex	population	population_name	superpopulation	superpopulation_name
BIR-08		BIR	Birhor	SAS	South Asian Ancestry
BIR-11		BIR	Birhor	SAS	South Asian Ancestry
BIR-12		BIR	Birhor	SAS	South Asian Ancestry
BIR-13		BIR	Birhor	SAS	South Asian Ancestry
BIR-14		BIR	Birhor	SAS	South Asian Ancestry
BIR-15		BIR	Birhor	SAS	South Asian Ancestry
BIR-16		BIR	Birhor	SAS	South Asian Ancestry
BIR-18		BIR	Birhor	SAS	South Asian Ancestry
BIR-22		BIR	Birhor	SAS	South Asian Ancestry
BR1-10		UBR	Brahmin	SAS	South Asian Ancestry
BR1-12		UBR	Brahmin	SAS	South Asian Ancestry
BR1-13		UBR	Brahmin	SAS	South Asian Ancestry
BR1-16		UBR	Brahmin	SAS	South Asian Ancestry
BR1-18		UBR	Brahmin	SAS	South Asian Ancestry
BR1-1		UBR	Brahmin	SAS	South Asian Ancestry
BR1-3		UBR	Brahmin	SAS	South Asian Ancestry
BR1-4		UBR	Brahmin	SAS	South Asian Ancestry
BR1-5		UBR	Brahmin	SAS	South Asian Ancestry
BR1-6		UBR	Brahmin	SAS	South Asian Ancestry
IL-01		ILA	Irula	SAS	South Asian Ancestry
IL-04		ILA	Irula	SAS	South Asian Ancestry
IL-07		ILA	Irula	SAS	South Asian Ancestry
IL-08		ILA	Irula	SAS	South Asian Ancestry
IL-09		ILA	Irula	SAS	South Asian Ancestry
IL-10		ILA	Irula	SAS	South Asian Ancestry
IL-11		ILA	Irula	SAS	South Asian Ancestry
IL-12		ILA	Irula	SAS	South Asian Ancestry
IL-15		ILA	Irula	SAS	South Asian Ancestry
IL-16		ILA	Irula	SAS	South Asian Ancestry
PRBB-1		BEN	Bengali	SAS	South Asian Ancestry
PRBB-2		PUN	Punjabi	SAS	South Asian Ancestry
RAI-11		RAJ	Rajput	SAS	South Asian Ancestry
RAI-12		RAJ	Rajput	SAS	South Asian Ancestry
RAI-13		RAJ	Rajput	SAS	South Asian Ancestry
RAI-15		RAJ	Rajput	SAS	South Asian Ancestry
RAI-2		RAJ	Rajput	SAS	South Asian Ancestry
RAI-3		RAJ	Rajput	SAS	South Asian Ancestry
RAI-4		RAJ	Rajput	SAS	South Asian Ancestry
RAI-5		RAJ	Rajput	SAS	South Asian Ancestry
RAI-8		RAJ	Rajput	SAS	South Asian Ancestry
RAI-9		RAJ	Rajput	SAS	South Asian Ancestry
RIA-12		RIA	Riang	SAS	South Asian Ancestry
RIA-14		RIA	Riang	SAS	South Asian Ancestry
RIA-19		RIA	Riang	SAS	South Asian Ancestry
RIA-20		RIA	Riang	SAS	South Asian Ancestry
RIA-23		RIA	Riang	SAS	South Asian Ancestry
RIA-24		RIA	Riang	SAS	South Asian Ancestry
RIA-41		RIA	Riang	SAS	South Asian Ancestry
RIA-42		RIA	Riang	SAS	South Asian Ancestry
RIA-45		RIA	Riang	SAS	South Asian Ancestry
RIA-63		RIA	Riang	SAS	South Asian Ancestry
VV1-01		VLR	Vellalar	SAS	South Asian Ancestry
VV1-03		VLR	Vellalar	SAS	South Asian Ancestry
VV1-04		VLR	Vellalar	SAS	South Asian Ancestry
VV1-05		VLR	Vellalar	SAS	South Asian Ancestry
VV1-06		VLR	Vellalar	SAS	South Asian Ancestry
VV1-07		VLR	Vellalar	SAS	South Asian Ancestry
VV1-14		VLR	Vellalar	SAS	South Asian Ancestry
VV1-16		VLR	Vellalar	SAS	South Asian Ancestry
VV1-20		VLR	Vellalar	SAS	South Asian Ancestry
