sample	sex	population	population_name	superpopulation	superpopulation_name
ADR94398	M	AYM	Aymara from Bolivia	AMR	American Ancestry
ADR94324	F	AYM	Aymara from Bolivia	AMR	American Ancestry
ADR94396	M	AYM	Aymara from Bolivia	AMR	American Ancestry
ADR94325	F	AYM	Aymara from Bolivia	AMR	American Ancestry
ADR94351	F	AYM	Aymara from Bolivia	AMR	American Ancestry
ADR94095	M	AYM	Aymara from Bolivia	AMR	American Ancestry
ADR94364	F	AYM	Aymara from Bolivia	AMR	American Ancestry
ADR94254	F	AYM	Aymara from Bolivia	AMR	American Ancestry
ADR94071	M	AYM	Aymara from Bolivia	AMR	American Ancestry
ADR94368	F	AYM	Aymara from Bolivia	AMR	American Ancestry
ADR94463	F	AYM	Aymara from Bolivia	AMR	American Ancestry
ADR94573	M	AYM	Aymara from Bolivia	AMR	American Ancestry
ADR94512	M	AYM	Aymara from Bolivia	AMR	American Ancestry
ADR94075	F	AYM	Aymara from Bolivia	AMR	American Ancestry
ADR94337	M	AYM	Aymara from Bolivia	AMR	American Ancestry
ADR94318	M	AYM	Aymara from Bolivia	AMR	American Ancestry
ADR94342	M	AYM	Aymara from Bolivia	AMR	American Ancestry
ADR94047	F	AYM	Aymara from Bolivia	AMR	American Ancestry
ADR94215	M	AYM	Aymara from Bolivia	AMR	American Ancestry
ADR94362	F	AYM	Aymara from Bolivia	AMR	American Ancestry
ADR94339	M	AYM	Aymara from Bolivia	AMR	American Ancestry
ADR94238	F	AYM	Aymara from Bolivia	AMR	American Ancestry
ADR94211	M	AYM	Aymara from Bolivia	AMR	American Ancestry
ADR94072	F	AYM	Aymara from Bolivia	AMR	American Ancestry
94233	F	AYM	Aymara from Bolivia	AMR	American Ancestry
